WGD label	90% HCR	Peak	Mean	Phylogenetic position	Full_Species
1	15.61 - 30.54	21.98	23.72	Maleae	"Eriobotrya_japonica, Malus_domestica, Crataegus_pinnatifida, Sorbus_americana, Pyrus_betulifolia, Pyrus_bretschneideri, Malus_sieversii"
2	56.10 - 75.39	64.24	65.13	Papilionoideae	"Ammopiptanthus_nanus, Medicago_truncatula, Arachis_hypogaea, Pisum_sativm, Mucuna_pruriens, Oxytropis_aciphylla, Cicer_arietinum, Vigna_radiata, Glycine_soja, Lotus_japonicus, Trifolium_subterraneum, Spatholobus_suberectus, Cajanus_cajan, Melilotus_albus, Trifolium_pratense, Dalbergia_odorifera, Vigna_angularis, Abrus_precatorius, Vicia_sativa, Lablab_purpureus, Medicago_sativa, Lens_culinaris, Lupinus_luteus, Amphicarpaea_ferruginea, Arachis_duranensis, Glycine_max, Phaseolus_vulgaris"
3	9.64 - 18.98	13.72	14.76	Glycine	"Glycine_max, Glycine_soja"
4	55.15 - 71.48	63.19	61.56	Juglandaceae	"Juglans_regia, Carya_illinoinensis, Cyclocarya_paliurus, Juglans_mandshurica, Platycarya_strobilacea, Juglans_sigillata"
5	22.15 - 43.29	31.81	33.19	Brassiceae	"Raphanus_sativus, Brassica_rapa"
6	39.57 - 69.17	51.27	53.99	Brassicaceae	"Megadenia_pygmaea, Raphanus_sativus, Thlaspi_arvense, Megacarpaea_delavayi, Brassica_napus, Cardamine_hirsuta, Aethionema_arabicum, Boechera_stricta, Orychophragmus_violaceus, Draba_nemorosa, Camelina_sativa, Lepidium_sativum, Arabidopsis_lyrata, Isatis_indigotica, Microthlaspi_perfoliatum, Lobularia_maritima, Erysimum_wardii, Sinapis_alba, Schrenkiella_parvula, Arabidopsis_thaliana, Eutrema_salsugineum, Brassica_rapa, Arabis_alpina, Brassica_oleracea, Capsella_rubella"
7	4.44 - 10.86	6.94	7.76	Camelina	Camelina_sativa
8	25.95 - 51.65	36.89	38.82	Partial Cleomaceae 	"Cleome_pallida, Tarenaya_hassleriana"
9	36.81 - 73.52	58.81	55.62	Partial Malvaceae	"Gossypium_barbadense, Hibiscus_cannabinus, Durio_zibethinus, Corchorus_capsularis, Bombax_buonopozense, Theobroma_cacao, Heritiera_littoralis, Gossypium_raimondii, Gossypium_hirsutum, Abelmoschus_esculentus, Bombax_ceiba"
10	35.36 - 54.89	45	45.68	Partial Euphorbiaceae	"Manihot_esculenta, Hevea_brasiliensis"
