WGD ID	Phylogenetic location	Species	KS peak	Credible range	Posterior Mean	Posterior Median	Posterior Mode	90% HPD	Consensus Peak	Consensus Mean	90% HCR	Full_Species	Crown_ages	Stem_ages	90%_HCR_Lower	90%_HCR_Higher	Crown_ages_Lower	Crown_ages_Higher	Stem_ages_Lower	Stem_ages_Higher
MALE	Maleae	Eriobotrya_japonica	0.14	0.09-0.32	25.56	24.93	24.34	16.26-33.84	22.51	23.99	16.39-29.90	Sorbus_pohuashanensis, Malus_sieversii, Malus_domestica, Pyrus_betulifolia, Pyrus_bretschneideri, Eriobotrya_japonica, Crataegus_pinnatifida	22.79750000000005	40.340000000000046	16.39	29.9	12.8187	33.9581	24.5825	55.461400000000005
MALE	Maleae	Sorbus_pohuashanensis	0.13	0.08-0.30	22.34	21.81	21.16	14.27-30.06	22.51	23.99	16.39-29.90	Sorbus_pohuashanensis, Malus_sieversii, Malus_domestica, Pyrus_betulifolia, Pyrus_bretschneideri, Eriobotrya_japonica, Crataegus_pinnatifida	22.79750000000005	40.340000000000046	16.39	29.9	12.8187	33.9581	24.5825	55.461400000000005
MALE	Maleae	Crataegus_pinnatifida	0.16	0.09-0.35	24.07	23.41	22.18	15.22-32.53	22.51	23.99	16.39-29.90	Sorbus_pohuashanensis, Malus_sieversii, Malus_domestica, Pyrus_betulifolia, Pyrus_bretschneideri, Eriobotrya_japonica, Crataegus_pinnatifida	22.79750000000005	40.340000000000046	16.39	29.9	12.8187	33.9581	24.5825	55.461400000000005
MALE	Maleae	Malus_domestica	0.15	0.09-0.31	21.89	21.33	20.15	14.03-29.90	22.51	23.99	16.39-29.90	Sorbus_pohuashanensis, Malus_sieversii, Malus_domestica, Pyrus_betulifolia, Pyrus_bretschneideri, Eriobotrya_japonica, Crataegus_pinnatifida	22.79750000000005	40.340000000000046	16.39	29.9	12.8187	33.9581	24.5825	55.461400000000005
MALE	Maleae	Pyrus_betulifolia	0.15	0.09-0.35	26.09	25.48	24.58	16.39-35.27	22.51	23.99	16.39-29.90	Sorbus_pohuashanensis, Malus_sieversii, Malus_domestica, Pyrus_betulifolia, Pyrus_bretschneideri, Eriobotrya_japonica, Crataegus_pinnatifida	22.79750000000005	40.340000000000046	16.39	29.9	12.8187	33.9581	24.5825	55.461400000000005
PAPI	Papilionoideae	Vigna_angularis	0.71	0.44-1.32	62.79	62.85	64.73	48.40-75.83	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Mucuna_pruriens	0.52	0.32-0.90	59.6	59.19	57.52	46.76-71.17	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Lotus_japonicus	0.61	0.38-0.99	60.54	59.73	58.95	47.05-71.93	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Phaseolus_vulgaris	0.66	0.42-1.16	64.26	63.82	64.32	50.57-79.72	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Aeschynomene_evenia	0.65	0.38-1.29	62.76	62.74	62.73	50.25-78.37	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Ammopiptanthus_nanus	0.37	0.22-0.69	52.43	52.33	52.85	38.43-64.58	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Cicer_arietinum	0.71	0.43-1.38	66.01	66.06	66.61	52.71-78.70	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Dalbergia_odorifera	0.53	0.31-1.01	58.2	57.66	59.79	45.48-71.30	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Lens_ervoides	0.86	0.48-1.93	63.47	63.47	62.53	47.52-77.76	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Pisum_sativm	0.83	0.41-2.85	69.31	69.24	68.92	55.89-81.09	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Trifolium_pratense	0.79	0.42-1.71	65.71	65.62	66.58	51.84-79.02	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Medicago_truncatula	0.77	0.43-1.53	67.76	67.68	67.59	53.75-80.03	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Melilotus_albus	0.72	0.44-1.27	63.77	63.13	61.83	50.47-76.50	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Vicia_sativa	0.77	0.41-2.77	69.51	70.72	72.93	51.51-84.96	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
PAPI	Papilionoideae	Amphicarpaea_edgeworthii	0.59	0.33-1.17	57.99	57.97	64.62	39.91-72.80	62.9	62.38	55.89-64.58	Amphicarpaea_edgeworthii, Glycine_soja, Glycine_max, Phaseolus_vulgaris, Vigna_angularis, Vigna_radiata, Vigna_subterranea, Lablab_purpureus, Macrotyloma_uniflorum, Cajanus_cajan, Spatholobus_suberectus, Mucuna_pruriens, Abrus_precatorius, Medicago_sativa, Medicago_truncatula, Melilotus_albus, Trifolium_subterraneum, Trifolium_pratense, Lens_culinaris, Lens_ervoides, Vicia_sativa, Pisum_sativm, Cicer_arietinum, Oxytropis_ochrocephala, Lotus_japonicus, Ammopiptanthus_nanus, Lupinus_angustifolius, Arachis_hypogaea, Arachis_duranensis, Dalbergia_odorifera, Aeschynomene_evenia	57.160500000000035	66.87970000000003	55.89	64.58	47.7321	67.3802	54.7048	77.9144
