Period	Epoch	Stage	UpperAge	LowerAge	AverageAge	GMST_05	GMST_16	GMST_50	GMST_84	GMST_95
Quaternary	Holocene	Holocene	0	0.0117	0.00585	12.97196473	13.58434598	13.99318197	14.34535194	14.54300966
Quaternary	Pleistocene	Upper Pleistocene	0.0117	0.129	0.07035	10.52277836	10.92192617	11.44270756	12.10868124	12.55784309
Quaternary	Pleistocene	Chibanian	0.129	0.774	0.4515	10.63203924	11.05460961	11.79472772	12.70128156	13.20930284
Quaternary	Pleistocene	Calabrian	0.774	1.8	1.287	11.81947712	12.18790602	12.82104048	13.48343722	14.00004958
Quaternary	Pleistocene	Gelasian	1.8	2.58	2.19	12.94071044	13.36456356	14.21406458	15.66189428	15.95102013
Neogene	Pliocene	Piacenzian	2.58	3.6	3.09	14.43859239	14.85219569	15.63248945	16.71695423	17.87850968
Neogene	Pliocene	Zanclean	3.6	5.33	4.465	14.96984943	15.33076845	16.26602683	17.56679409	18.01952785
Neogene	Miocene	Messinian	5.33	7.25	6.29	15.74987568	16.1497845	16.93716545	17.84300278	18.25491207
Neogene	Miocene	Tortonian	7.25	11.63	9.44	19.18236585	19.49464522	20.61710773	21.51296715	21.97180436
Neogene	Miocene	Serravallian	11.63	13.82	12.725	21.31541057	21.74131672	23.59800155	25.00423082	25.44228148
Neogene	Miocene	Langhian	13.82	15.99	14.905	20.71558731	21.60303266	23.77710287	25.89425377	26.77460577
Neogene	Miocene	Burdigalian	15.99	20.45	18.22	21.39122254	22.2141368	24.05933106	25.49516312	26.30233689
Neogene	Miocene	Aquitanian	20.45	23.04	21.745	19.74784297	20.46044453	22.06549958	23.50485971	24.89396742
Paleogene	Oligocene	Chattian	23.04	27.29	25.165	21.69411304	22.47312027	23.43500277	24.27101167	24.76685488
Paleogene	Oligocene	Rupelian	27.29	33.9	30.595	21.0518839	22.29267588	23.39550734	24.55765341	25.08629044
Paleogene	Eocene	Priabonian	33.9	37.71	35.805	24.65142876	25.16184792	26.07712681	27.32589619	27.89107992
Paleogene	Eocene	Bartonian	37.71	41.03	39.37	26.0968468	26.72556816	28.02625959	29.36685356	30.25440746
Paleogene	Eocene	Lutetian	41.03	48.07	44.55	24.57481651	25.39637581	26.98576382	31.45183625	32.6091501
Paleogene	Eocene	Ypresian	48.07	55.7	52.035	29.73215774	30.77067423	32.28211043	35.91504085	37.26940057
Paleogene	PETM	PETM	55.7	56	55.85	30.28668906	31.59813408	33.58647998	36.20464	39.16799023
Paleogene	Paleocene	Thanetian	56	59.24	57.62	24.57425026	24.93114224	25.60335262	27.11336845	28.16585935
Paleogene	Paleocene	Selandian/Danian	59.24	66	62.62	25.4292645	26.9431336	28.84607765	30.8981083	31.87401983
Cretaceous	Upper	Maastrichtian	66	72.17	69.085	21.56683246	22.68813835	24.50680773	25.8989228	26.80575112
Cretaceous	Upper	Campanian	72.17	83.65	77.91	24.38644416	26.11725398	28.13492725	29.87347976	31.05879271
Cretaceous	Upper	Santonian	83.65	85.7	84.675	28.3475846	29.07049369	31.41926008	35.80479785	38.50416722
Cretaceous	Upper	Coniacian	85.7	89.39	87.545	29.85263087	30.42971061	32.25551524	38.10254697	40.81651861
Cretaceous	Upper	Turonian	89.39	93.9	91.645	31.11160422	33.04667424	35.56441212	40.93345576	43.72906315
Cretaceous	Upper	Cenomanian	93.9	100.5	97.2	28.45027954	30.57751117	34.13595782	39.22868488	40.22085579
Cretaceous	Lower	Albian	100.5	113.2	106.85	23.01193623	24.25042837	26.01150833	28.59671178	31.04851419
Cretaceous	Lower	Aptian	113.2	121.4	117.3	24.38984859	26.67632145	32.00250396	36.74693349	37.54155807
Cretaceous	Lower	Barremian	121.4	126.5	123.95	22.92741901	25.09403529	30.51553507	33.74252345	34.95449203
Cretaceous	Lower	Hauterivian	126.5	132.6	129.55	20.84104302	22.63023045	27.27444089	30.45268859	31.34538166
Cretaceous	Lower	Valanginian	132.6	137.7	135.15	22.4774008	24.70795439	28.24588796	33.04987243	37.72526174
Cretaceous	Lower	Berriasian	137.7	143.1	140.4	21.26693585	23.41824357	27.00092473	31.11232394	35.20262368
Jurassic	Upper	Tithonian	143.1	149.24	146.17	23.73025072	24.89693705	27.26641889	29.46036936	31.35417137
Jurassic	Upper	Kimmeridgian	149.24	154.78	152.01	21.1801677	22.29424566	24.46513985	27.63031672	29.62585514
Jurassic	Upper	Oxfordian	154.78	161.53	158.155	21.38383031	22.24341643	23.87911703	27.94929501	30.13552512
Jurassic	Middle	Callovian	161.53	165.29	163.41	16.97452217	18.43472108	20.11456281	22.31903069	24.39967491
Jurassic	Middle	Bathonian	165.29	168.17	166.73	11.10011301	14.42477161	17.77471811	19.479166	20.67649267
Jurassic	Middle	Bajocian	168.17	170.9	169.535	14.37005151	18.15327997	21.39481946	23.08155833	23.91345985
Jurassic	Middle	Aalenian	170.9	174.7	172.8	16.26044813	19.96540825	23.19576864	26.13002895	28.80444921
Jurassic	Lower	Toarcian	174.7	184.2	179.45	23.16756916	24.70076829	26.37119892	28.25857106	29.62642392
Jurassic	Lower	Pliensbachian	184.2	192.9	188.55	20.85867594	22.0198609	24.10456975	28.21412667	30.75835741
Jurassic	Lower	Sinemurian/Hettangian	192.9	201.36	197.13	21.17364805	22.77964758	25.05570753	28.23074995	30.4200464
Triassic	Upper	Rhaetian	201.36	205.74	203.55	18.5103631	19.79178129	22.31772778	24.45870046	25.76806804
Triassic	Upper	Norian	205.74	227.3	216.52	21.04035648	22.28333035	25.02103509	27.47657029	28.67806332
