Age	Mean_temperature	Number	Range95CI
0	18.22	1618	0.2
1	15.38	1053	0.11
2	16.19	1018	0.1
3	17.16	1634	0.09
4	17.47	2072	0.08
5	17.13	1506	0.09
6	15.19	222	0.26
7	15.67	60	0.55
8	16.11	51	0.89
9	16.99	72	0.66
10	18.94	74	0.82
11	17.78	90	0.58
12	16.57	68	0.84
13	15.25	152	0.2
14	16.74	35	0.81
15	17.09	30	0.96
16	17.64	21	1.13
17	16.83	27	1.12
18	15.43	38	0.93
20	16.64	36	0.82
22	19.03	45	0.93
23	18.61	31	0.98
24	18.49	31	1.42
26	14.09	6	0.92
27	15.24	5	2.01
28	14.47	8	2.17
29	15.22	14	0.76
30	15.67	14	2.56
32	21.8	46	1.15
33	21.25	178	0.39
34	21.79	228	0.43
35	22.17	69	1.14
37	16.21	31	1.65
39	16.8	64	0.86
41	17.82	76	0.69
42	18.07	34	1.73
43	18.43	36	1.38
44	15.74	19	0.71
45	21.54	65	1.11
46	19.8	278	0.27
47	17.41	15	0.69
48	21.81	14	2.65
49	23.75	31	1.45
50	22.98	27	1.43
51	20.88	14	1.74
52	22.07	11	2.33
53	22.38	23	2.17
54	20.43	26	1.88
55	26.45	94	0.89
56	20.06	54	1.04
57	18.33	26	1.03
58	18.34	23	1.32
59	20.06	24	1.51
60	17.15	47	0.55
61	17.49	25	1.14
62	15.81	15	0.89
63	15.62	7	0.99
66	18.81	32	0.99
67	17.09	74	0.5
68	17.92	197	0.49
69	15.82	140	0.45
70	15.96	124	0.36
71	15.89	173	0.26
72	16.25	120	0.42
73	17.3	85	0.68
74	16.95	59	0.43
75	16.45	92	0.35
76	20.26	182	0.77
77	19.08	91	1.09
78	19.47	77	1.3
79	18.06	98	0.95
80	16.7	3	0.93
82	27.63	33	2.16
84	22.07	20	2.8
86	29.91	46	0.57
87	28.72	24	1.58
88	29.79	63	0.56
89	29.71	80	0.69
90	30.45	42	0.61
91	31.97	112	0.45
92	31.93	226	0.17
93	31.75	371	0.13
94	31.66	124	0.24
95	30.03	135	0.65
96	24.98	185	0.62
97	28.37	172	0.51
98	27.86	86	0.94
99	24.77	63	1.09
100	25.44	53	1.02
101	24.66	302	0.21
102	24.1	387	0.22
103	24.01	83	0.54
104	23.54	63	0.81
105	22.89	54	0.62
106	22.08	9	1.65
107	20.9	4	1.12
108	19.91	4	3.21
109	20.6	5	2.62
112	19.45	7	4.3
116	22.86	7	1.92
117	24.28	12	2.44
118	24.33	2	1.06
119	22.68	5	3.25
120	21.66	15	0.62
121	20.22	24	0.54
122	21.49	36	1.21
123	21.42	31	1.51
124	20.87	92	0.11
125	20.74	181	0.2
126	20.84	58	0.55
127	20.5	12	3.06
128	17.87	14	0.9
129	25.24	39	2.23
130	23.4	79	1.16
131	21.25	43	1.6
132	21.3	41	1.25
133	22	25	1.89
134	20.69	19	2.14
135	18.56	20	2
136	18.17	26	1.57
137	16.29	38	0.42
138	16.94	11	0.82
139	19.39	22	1.36
140	17.8	28	0.6
141	18.06	7	3.09
142	17.25	6	1.2
145	17.85	5	3.93
150	19.3	1	
153	19.29	58	1.01
154	20.44	9	3
156	24.39	5	2.45
157	19.12	7	3.98
158	20.51	5	4.37
159	20.07	25	2.09
160	21.8	34	1.68
161	19.4	10	2.52
162	16.76	23	1.14
164	19.43	102	0.72
165	23.52	17	1.7
166	22.66	57	0.93
167	25.16	111	0.45
168	24.88	10	2.4
169	25.34	12	1.44
170	20.05	49	0.95
171	23.02	21	1.18
172	25.71	9	2.86
173	21.07	13	1.13
174	23.05	4	5.02
175	26.2	12	2.09
176	29.07	14	2.63
177	24.46	8	3.27
178	26.51	17	1.76
179	25.41	33	1.31
180	26.58	55	1.14
181	24.08	153	0.58
182	22.23	195	0.44
183	18.88	189	0.51
184	18.38	93	0.59
